# 2018-07-09 11:23:29.760000 : Beginning an experiment with subject number 138
# 2018-07-09 11:24:01.964000 : First practice screen shown at time 33980
# 2018-07-09 11:24:18.248000 : Touch tracking instructions at time 50264
# 2018-07-09 11:25:10.798000 : Second practice trial at time 102814
# 2018-07-09 11:25:33.254000 : Third practice trial at time 125270
# 2018-07-09 11:26:38.740000> starting trial 0 with item-cond 17-c
# 2018-07-09 11:26:42.754000> starting sentence audio 0 with item-cond 17-c
# 2018-07-09 11:26:42.766000 : Third practice trial at time 194782
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"16279","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","190776","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","c","17","undefined","1017","572","yes","07/09/18 11:23:27","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[194765, 194770, 195005, 195230, 195475, 195712, 195947, 196189, 196413, 196631, 196844, 197056, 197267, 197511, 197748, 197984, 198228, 198458, 198677, 198894, 199106, 199324, 199559, 199795, 200032, 200270, 200508, 200727, 200944, 201156, 201367, 201584, 201833, 202076, 202318, 202560, 202779, 203002, 203228, 203450, 203685, 203941, 204191, 204437, 204679, 204903, 205126, 205349, 205571, 205809, 206061, 206311, 206557, 206801, 207023, 207244, 207467, 207690, 207925, 208178, 208430, 208687, 208929, 209147, 209367, 209589, 209815, 210064, 210314, 210562, 210812, 211042]","0","NA","no","serif","no","18","no","white","no","no","1080","17","17","legacy","0","0","0","C:/Users/z.lab1/Desktop/Final/subject-138.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1807, 509)","star","yes","no","no","0,0","0","1","1","NA","14155","14155","NA","2","legacy","1024","2","44100","-16","NA","experiment","138","even","droid","[8465.0, 8687.0, 8922.0, 9179.0, 9428.0, 9675.0, 9916.0, 10140.0, 10363.0, 10586.0, 10808.0, 11046.0, 11298.0, 11548.0, 11794.0, 12038.0, 12260.0, 12481.0, 12704.0, 12927.0, 13163.0, 13415.0, 13667.0]","154832","189756","190756","NA","188918","NA","NA","NA","NA","NA","2223","33408","33975","50250","33975","102599","2200","NA","125035","194760","189747","16383","2199","211256","BTA (Zapotec RC script)","0","0","0","no","194765","no","1920","[1088, 1148, 1184, 1249, 1343, 1417, 1467, 1512, 1561, 1626, 1681, 1743, 1785, 1793, 1796, 1804, 1810, 1808, 1808, 1815, 1821, 1820, 1820]","[941, 928, 923, 903, 878, 863, 852, 838, 820, 792, 763, 726, 658, 602, 572, 528, 458, 374, 298, 234, 152, 115, 96]"
# 2018-07-09 11:27:00.751000> starting trial 1 with item-cond 4-f
# 2018-07-09 11:27:03.535000> starting sentence audio 1 with item-cond 4-f
# 2018-07-09 11:27:03.545000 : Third practice trial at time 215561
"15530","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","212789","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","f","4","undefined","1017","572","yes","07/09/18 11:23:27","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[215546, 215551, 215779, 215995, 216216, 216447, 216680, 216911, 217143, 217376, 217592, 217800, 218012, 218219, 218442, 218678, 218908, 219141, 219374, 219615, 219824, 220035, 220245, 220460, 220682, 220914, 221157, 221395, 221632, 221866, 222082, 222298, 222514, 222733, 222966, 223208, 223455, 223703, 223954, 224170, 224389, 224611, 224827, 225056, 225305, 225556, 225794, 226046, 226267, 226487, 226709, 226928, 227153, 227402, 227647, 227900, 228131, 228348, 228564, 228782, 228999, 229226, 229473, 229714, 229959, 230192, 230408, 230627, 230848, 231074]","0","NA","no","serif","no","18","no","white","no","no","1080","4","4","legacy","1","1","0","C:/Users/z.lab1/Desktop/Final/subject-138.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(78, 502)","flower","yes","no","no","0,0","0","1","1","NA","14155","14155","NA","2","legacy","1024","2","44100","-16","NA","experiment","138","even","droid","[7422.0, 7666.0, 7911.0, 8159.0, 8410.0, 8626.0, 8845.0, 9067.0, 9284.0, 9512.0, 9762.0, 10012.0, 10251.0, 10503.0, 10724.0, 10944.0, 11165.0, 11385.0, 11609.0]","154832","211767","212767","NA","188918","NA","NA","NA","NA","NA","2223","33408","33975","50250","33975","102599","2200","NA","125035","215541","211766","16383","2199","231291","BTA (Zapotec RC script)","0","0","0","no","215546","no","1920","[819, 751, 706, 647, 561, 484, 404, 337, 279, 217, 161, 130, 117, 117, 115, 114, 108, 112, 112]","[888, 873, 875, 875, 862, 848, 842, 834, 809, 778, 726, 657, 594, 449, 352, 267, 167, 91, 84]"
# 2018-07-09 11:27:20.795000> starting trial 2 with item-cond 23-a
# 2018-07-09 11:27:24.156000> starting sentence audio 2 with item-cond 23-a
# 2018-07-09 11:27:24.166000 : Third practice trial at time 236182
"17596","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","232831","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","a","23","undefined","1017","572","yes","07/09/18 11:23:27","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[236166, 236172, 236422, 236651, 236887, 237098, 237310, 237516, 237725, 237943, 238174, 238402, 238631, 238861, 239089, 239301, 239512, 239720, 239928, 240146, 240383, 240613, 240846, 241080, 241302, 241514, 241726, 241935, 242143, 242368, 242601, 242836, 243069, 243303, 243513, 243728, 243944, 244159, 244384, 244621, 244864, 245098, 245341, 245557, 245773, 245988, 246204, 246429, 246672, 246912, 247151, 247391, 247608, 247824, 248039, 248255, 248480, 248730, 248984, 249239, 249466, 249679, 249890, 250106, 250321, 250550, 250793, 251033, 251276, 251496, 251711, 251927, 252140, 252350, 252591, 252832, 253072, 253320, 253542, 253759]","0","NA","no","serif","no","18","no","white","no","no","1080","23","23","legacy","2","2","0","C:/Users/z.lab1/Desktop/Final/subject-138.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(82, 492)","leaf","yes","no","no","0,0","0","1","1","NA","14155","14155","NA","2","legacy","1024","2","44100","-16","NA","experiment","138","even","droid","[7781.0, 7995.0, 8220.0, 8457.0, 8700.0, 8934.0, 9179.0, 9393.0, 9610.0, 9824.0, 10040.0, 10265.0, 10509.0, 10748.0, 10988.0, 11227.0, 11444.0, 11660.0, 11876.0, 12091.0, 12316.0, 12567.0]","154832","231811","232811","NA","188918","NA","NA","NA","NA","NA","2223","33408","33975","50250","33975","102599","2200","NA","125035","236160","231811","16383","2199","253965","BTA (Zapotec RC script)","0","0","0","no","236166","no","1920","[825, 778, 736, 693, 623, 549, 461, 397, 335, 278, 227, 188, 144, 111, 87, 76, 74, 74, 78, 81, 90, 108]","[906, 906, 902, 897, 875, 857, 833, 808, 777, 735, 691, 636, 573, 526, 467, 382, 296, 233, 171, 122, 90, 66]"
# 2018-07-09 11:27:43.496000> starting trial 3 with item-cond 15-a
