# 2018-06-27 14:21:05.439000 : Beginning an experiment with subject number 206
# 2018-06-27 14:22:25.367000 : First practice screen shown at time 81899
# 2018-06-27 14:22:41.663000 : Touch tracking instructions at time 98195
# 2018-06-27 14:25:08.261000 : Second practice trial at time 244793
# 2018-06-27 14:26:19.732000 : Third practice trial at time 316264
# 2018-06-27 14:28:55.999000> starting trial 0 with item-cond 19-a
# 2018-06-27 14:28:58.653000> starting sentence audio 0 with item-cond 19-a
# 2018-06-27 14:28:58.665000 : Third practice trial at time 475197
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"35088","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","472553","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","a","19","undefined","1344","562","yes","06/27/18 14:21:03","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[475179, 475185, 475430, 475656, 475881, 476142, 476394, 476658, 476954, 477243, 477469, 477720, 477946, 478172, 478416, 478682, 478949, 479203, 479478, 479727, 479952, 480178, 480404, 480630, 480904, 481150, 481404, 481649, 481916, 482160, 482387, 482614, 482842, 483077, 483332, 483595, 483866, 484149, 484377, 484604, 484832, 485059, 485297, 485564, 485836, 486144, 486418, 486644, 486872, 487101, 487329, 487580, 487858, 488173, 488472, 488730, 488957, 489183, 489409, 489635, 489875, 490125, 490398, 490703, 491008, 491235, 491462, 491689, 491925, 492169, 492426, 492681, 492957, 493297, 493545, 493775, 494006, 494238, 494524, 494853, 495173, 495486, 495778, 496061, 496297, 496555, 496792, 497082, 497343, 497612, 497886, 498112, 498340, 498564, 498801, 499080, 499338, 499599, 499874, 500132, 500370, 500620, 500843, 501124, 501442, 501812, 502079, 502342, 502599, 502850, 503118, 503393, 503666, 503946, 504205, 504498, 504783, 505029, 505274, 505572, 505839, 506119, 506383, 506653, 506888, 507120, 507352, 507584, 507831, 508134, 508406, 508686, 508917, 509147, 509377, 509641, 509990, 510265]","0","NA","no","serif","no","18","no","white","no","no","1080","19","19","legacy","0","0","0","C:/Users/z.lab2/Desktop/Final/subject-206.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1816, 432)","leaf","yes","no","no","0,0","0","1","1","NA","61308","61308","NA","2","legacy","1024","2","44100","-16","NA","experiment","206","even","droid","[26635.0, 26902.0, 27166.0, 27422.0, 27674.0, 27942.0, 28216.0, 28490.0, 28769.0, 29028.0, 29321.0, 29606.0, 29852.0, 30098.0, 30396.0]","436526","471531","472531","NA","470629","NA","NA","NA","NA","NA","2949","81293","81894","98178","81894","244573","2917","NA","315941","475174","471529","64261","2917","510525","BTA (Zapotec RC script)","0","0","0","no","475179","no","1920","[1180, 1313, 1423, 1499, 1555, 1608, 1664, 1724, 1775, 1802, 1825, 1837, 1839, 1840, 1835]","[819, 712, 602, 511, 429, 369, 310, 266, 219, 195, 161, 126, 106, 95, 83]"
# 2018-06-27 14:29:35.998000> starting trial 1 with item-cond 9-g
# 2018-06-27 14:29:38.633000> starting sentence audio 1 with item-cond 9-g
# 2018-06-27 14:29:38.643000 : Third practice trial at time 515175
"30312","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","512551","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","g","9","undefined","1344","562","yes","06/27/18 14:21:03","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[515160, 515165, 515434, 515656, 515879, 516109, 516370, 516619, 516867, 517195, 517473, 517702, 517931, 518160, 518389, 518627, 518882, 519169, 519416, 519682, 519935, 520158, 520384, 520610, 520836, 521074, 521331, 521589, 521871, 522136, 522491, 522722, 522953, 523183, 523415, 523671, 523946, 524231, 524474, 524704, 524935, 525165, 525396, 525638, 525902, 526176, 526434, 526699, 526932, 527165, 527397, 527626, 527962, 528221, 528480, 528747, 529082, 529308, 529535, 529762, 529990, 530228, 530481, 530740, 530988, 531294, 531526, 531756, 531985, 532214, 532469, 532727, 533025, 533283, 533568, 533796, 534070, 534350, 534604, 534896, 535190, 535473, 535799, 536029, 536259, 536485, 536713, 536961, 537235, 537504, 537833, 538056, 538280, 538504, 538728, 538970, 539225, 539480, 539782, 540013, 540244, 540474, 540705, 541009, 541275, 541537, 541835, 542067, 542317, 542551, 542784, 543084, 543365, 543636, 543902, 544134, 544370, 544601, 544887, 545157, 545470]","0","NA","no","serif","no","18","no","white","no","no","1080","9","9","legacy","1","1","0","C:/Users/z.lab2/Desktop/Final/subject-206.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1801, 501)","star","yes","no","no","0,0","0","1","1","NA","61308","61308","NA","2","legacy","1024","2","44100","-16","NA","experiment","206","even","droid","[11775.0, 12008.0, 12240.0, 12469.0, 12805.0, 13063.0, 13324.0, 17569.0, 17867.0, 18125.0, 18412.0, 18638.0, 18913.0, 19193.0, 19446.0, 19738.0, 20033.0, 20315.0, 20641.0]","436526","511529","512530","NA","470629","NA","NA","NA","NA","NA","2949","81293","81894","98178","81894","244573","2917","NA","315941","515154","511528","64261","2917","545728","BTA (Zapotec RC script)","0","0","0","no","515160","no","1920","[1046, 1108, 1194, 1301, 1452, 1481, 1492, 1474, 1521, 1586, 1650, 1702, 1753, 1792, 1806, 1816, 1827, 1824, 1826]","[895, 869, 837, 794, 720, 696, 693, 686, 630, 557, 420, 322, 243, 182, 164, 142, 107, 96, 92]"
# 2018-06-27 14:30:10.794000> starting trial 2 with item-cond 22-d
# 2018-06-27 14:30:15.413000> starting sentence audio 2 with item-cond 22-d
# 2018-06-27 14:30:15.421000 : Third practice trial at time 551953
"84629","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","547351","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","d","22","undefined","1344","562","yes","06/27/18 14:21:03","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[551940, 551945, 552183, 552456, 552729, 553080, 553344, 553633, 553967, 554196, 554425, 554654, 554883, 555169, 555438, 555701, 555987, 556242, 556489, 556719, 556948, 557176, 557404, 557669, 557923, 558192, 558441, 558701, 558944, 559191, 559420, 559650, 559879, 560140, 560425, 560713, 560986, 561275, 561508, 561742, 561976, 562209, 562497, 562783, 563063, 563324, 563588, 563819, 564049, 564292, 564560, 564893, 565181, 565470, 565731, 566026, 566258, 566487, 566718, 566957, 567209, 567501, 567796, 568075, 568338, 568601, 568832, 569062, 569291, 569553, 569810, 570070, 570385, 570645, 570903, 571136, 571370, 571603, 571873, 572194, 572478, 572740, 573045, 573296, 573537, 573781, 574013, 574274, 574570, 574888, 575150, 575389, 575622, 575855, 576088, 576346, 576655, 576959, 577234, 577466, 577699, 577941, 578172, 578436, 578708, 578997, 579269, 579551, 579795, 580068, 580312, 580590, 580866, 581160, 581466, 581694, 581924, 582154, 582384, 582633, 582888, 583166, 583461, 583765, 583997, 584229, 584463, 584697, 584957, 585225, 585505, 585814, 586080, 586309, 586578, 586814, 587049, 587352, 587626, 587927, 588188, 588463, 588691, 588918, 589150, 589382, 589641, 589918, 590184, 590474, 590723, 590980, 591212, 591455, 591729, 592024, 592305, 592569, 592804, 593040, 593290, 593533, 593824, 594093, 594366, 594632, 594880, 595113, 595346, 595579, 595819, 596082, 596364, 596625, 596903, 597133, 597363, 597593, 597823, 598067, 598376, 598638, 598980, 599257, 599486, 599716, 599945, 600175, 600422, 600714, 601034, 601327, 601594, 601853, 602098, 602339, 602619, 602910, 603181, 603510, 603798, 604030, 604263, 604496, 604728, 604979, 605242, 605562, 605838, 606074, 606324, 606594, 606874, 607138, 607423, 607701, 607980, 608285, 608559, 608825, 609067, 609342, 609610, 609880, 610125, 610362, 610630, 610905, 611161, 611417, 611721, 611990, 612245, 612469, 612699, 612929, 613158, 613414, 613670, 613938, 614212, 614486, 614716, 614946, 615176, 615406, 615655, 615922, 616176, 616432, 616678, 616908, 617139, 617383, 617632, 617933, 618310, 618608, 618866, 619130, 619371, 619604, 619833, 620063, 620345, 620618, 620873, 621147, 621378, 621612, 621844, 622077, 622346, 622618, 622882, 623156, 623428, 623679, 623911, 624151, 624477, 624752, 625015, 625286, 625520, 625755, 625988, 626224, 626497, 626772, 627051, 627331, 627593, 627824, 628056, 628289, 628522, 628822, 629096, 629373, 629656, 629892, 630129, 630365, 630601, 630853, 631136, 631412, 631678, 631918, 632154, 632389, 632625, 632870, 633147, 633436, 633727, 633983, 634218, 634453, 634688, 634922, 635177, 635464, 635736, 636067, 636325, 636567]","0","NA","no","serif","no","18","no","white","no","no","1080","22","22","legacy","2","2","0","C:/Users/z.lab2/Desktop/Final/subject-206.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1807, 501)","tortilla","yes","no","no","0,0","0","1","1","NA","61308","61308","NA","2","legacy","1024","2","44100","-16","NA","experiment","206","even","droid","[12622.0, 12956.0, 13243.0, 13533.0, 15564.0, 15858.0, 16138.0, 16402.0, 21110.0, 21359.0, 27857.0, 28130.0, 28375.0, 28653.0, 34877.0, 35989.0, 36251.0, 41887.0, 42155.0, 50160.0, 50402.0, 50681.0, 50974.0, 51243.0, 58187.0, 58425.0, 58693.0, 58969.0, 59223.0, 59479.0, 67193.0]","436526","546326","547326","NA","470629","NA","NA","NA","NA","NA","2949","81293","81894","98178","81894","244573","2917","NA","315941","551934","546325","64261","2917","636819","BTA (Zapotec RC script)","0","0","0","no","551940","no","1920","[1214, 1348, 1352, 1349, 1594, 1804, 1836, 1828, 1842, 1823, 1832, 1827, 1814, 1816, 1829, 1805, 1803, 1835, 1806, 1780, 1798, 1805, 1809, 1811, 1818, 1818, 1820, 1817, 1810, 1803, 1805]","[701, 585, 574, 568, 426, 266, 178, 168, 151, 93, 301, 443, 482, 478, 227, 163, 78, 337, 436, 239, 144, 103, 103, 103, 216, 223, 311, 396, 449, 451, 113]"
# 2018-06-27 14:31:42.401000> starting trial 3 with item-cond 3-a
