# 2018-06-28 17:50:19.262000 : Beginning an experiment with subject number 128
# 2018-06-28 17:50:53.996000 : First practice screen shown at time 36919
# 2018-06-28 17:51:10.302000 : Touch tracking instructions at time 53225
# 2018-06-28 17:52:11.840000 : Second practice trial at time 114763
# 2018-06-28 17:52:33.857000 : Third practice trial at time 136780
# 2018-06-28 17:53:37.418000> starting trial 0 with item-cond 14-f
# 2018-06-28 17:53:41.246000> starting sentence audio 0 with item-cond 14-f
# 2018-06-28 17:53:41.258000 : Third practice trial at time 204181
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"35017","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","200352","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","f","14","undefined","887","594","yes","06/28/18 17:50:17","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[204164, 204169, 204409, 204633, 204865, 205116, 205364, 205613, 205876, 206096, 206317, 206537, 206757, 206991, 207242, 207491, 207741, 208000, 208225, 208449, 208674, 208899, 209134, 209386, 209641, 209900, 210158, 210385, 210612, 210838, 211059, 211295, 211555, 211818, 212074, 212313, 212539, 212766, 212992, 213228, 213483, 213740, 214006, 214255, 214481, 214707, 214932, 215167, 215424, 215688, 215957, 216205, 216432, 216659, 216885, 217120, 217366, 217626, 217870, 218096, 218321, 218547, 218785, 219055, 219325, 219595, 219855, 220084, 220314, 220544, 220787, 221053, 221311, 221581, 221805, 222030, 222253, 222475, 222716, 222985, 223245, 223512, 223744, 223976, 224207, 224438, 224696, 224968, 225240, 225501, 225724, 225948, 226171, 226394, 226631, 226904, 227186, 227453, 227679, 227903, 228127, 228351, 228593, 228857, 229124, 229386, 229609, 229832, 230055, 230278, 230520, 230794, 231068, 231344, 231568, 231794, 232024, 232258, 232513, 232781, 233051, 233317, 233541, 233765, 233988, 234212, 234451, 234706, 234961, 235220, 235448, 235678, 235909, 236142, 236401, 236675, 236946, 237212, 237441, 237669, 237897, 238122, 238372, 238639, 238909, 239177]","0","NA","no","serif","no","18","no","white","no","no","1080","14","14","legacy","0","0","0","C:/Users/z.lab1/Desktop/Final/subject-128.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1816, 459)","tortilla","yes","no","no","0,0","0","1","1","NA","16748","16748","NA","2","legacy","1024","2","44100","-16","NA","experiment","128","even","droid","[14894.0, 15163.0, 15434.0, 15694.0, 15924.0, 20534.0, 20807.0, 23291.0]","164661","199341","200341","NA","198724","NA","NA","NA","NA","NA","2642","36417","36914","53191","36914","114527","2622","NA","136561","204159","199340","19394","2621","239399","BTA (Zapotec RC script)","0","0","0","no","204164","no","1920","[1214, 1428, 1633, 1802, 1839, 1827, 1828, 1840]","[659, 432, 203, 87, 69, 56, 36, 31]"
# 2018-06-28 17:54:17.974000> starting trial 1 with item-cond 23-g
# 2018-06-28 17:54:21.327000> starting sentence audio 1 with item-cond 23-g
# 2018-06-28 17:54:21.336000 : Third practice trial at time 244259
"19879","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","240907","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","g","23","undefined","887","594","yes","06/28/18 17:50:17","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[244244, 244249, 244467, 244696, 244924, 245160, 245390, 245629, 245841, 246046, 246251, 246457, 246663, 246895, 247124, 247364, 247601, 247842, 248048, 248254, 248461, 248667, 248879, 249117, 249353, 249582, 249821, 250060, 250265, 250473, 250678, 250883, 251094, 251329, 251564, 251795, 252035, 252245, 252452, 252659, 252865, 253082, 253321, 253566, 253807, 254058, 254270, 254482, 254694, 254906, 255126, 255356, 255608, 255862, 256110, 256324, 256538, 256751, 256965, 257188, 257438, 257699, 257956, 258194, 258403, 258612, 258821, 259029, 259249, 259495, 259741, 259986, 260206, 260420, 260635, 260851, 261080, 261335, 261595, 261852, 262072, 262285, 262498, 262711, 262937, 263183, 263431, 263688, 263903, 264115]","0","NA","no","serif","no","18","no","white","no","no","1080","23","23","legacy","1","1","0","C:/Users/z.lab1/Desktop/Final/subject-128.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1816, 504)","leaf","yes","no","no","0,0","0","1","1","NA","16748","16748","NA","2","legacy","1024","2","44100","-16","NA","experiment","128","even","droid","[11621.0, 11868.0, 12082.0, 12296.0, 12509.0, 12723.0, 12946.0, 13197.0, 16838.0, 17093.0]","164661","239896","240897","NA","198724","NA","NA","NA","NA","NA","2642","36417","36914","53191","36914","114527","2622","NA","136561","244239","239896","19394","2621","264324","BTA (Zapotec RC script)","0","0","0","no","244244","no","1920","[1175, 1389, 1570, 1678, 1744, 1805, 1826, 1834, 1823, 1824]","[712, 515, 338, 212, 144, 100, 79, 71, 90, 70]"
# 2018-06-28 17:54:42.868000> starting trial 2 with item-cond 24-h
# 2018-06-28 17:54:48.147000> starting sentence audio 2 with item-cond 24-h
# 2018-06-28 17:54:48.158000 : Third practice trial at time 271081
"39127","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","265805","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","h","24","undefined","887","594","yes","06/28/18 17:50:17","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[271065, 271070, 271307, 271548, 271797, 272048, 272296, 272553, 272772, 272988, 273203, 273420, 273642, 273887, 274137, 274384, 274640, 274881, 275098, 275315, 275532, 275749, 275993, 276242, 276493, 276736, 276984, 277202, 277419, 277642, 277864, 278094, 278343, 278588, 278848, 279100, 279318, 279535, 279753, 279976, 280209, 280456, 280715, 280982, 281246, 281467, 281689, 281915, 282138, 282376, 282631, 282900, 283163, 283385, 283603, 283820, 284037, 284267, 284523, 284772, 285035, 285264, 285490, 285723, 285953, 286201, 286466, 286731, 286995, 287222, 287449, 287675, 287900, 288143, 288407, 288672, 288932, 289158, 289385, 289610, 289837, 290075, 290321, 290582, 290863, 291091, 291317, 291540, 291761, 291995, 292245, 292506, 292775, 292996, 293220, 293444, 293671, 293916, 294186, 294448, 294713, 294934, 295156, 295377, 295598, 295830, 296082, 296344, 296614, 296839, 297065, 297292, 297518, 297756, 298007, 298264, 298538, 298764, 298990, 299216, 299445, 299694, 299952, 300222, 300491, 300728, 300950, 301171, 301395, 301633, 301902, 302177, 302452, 302685, 302910, 303136, 303358, 303592, 303851, 304105, 304375, 304604, 304830, 305056, 305282, 305524, 305788, 306048, 306310, 306538, 306767, 306992, 307219, 307457, 307719, 307985, 308250, 308475, 308701, 308926, 309153, 309397, 309652, 309911, 310187]","0","NA","no","serif","no","18","no","white","no","no","1080","24","24","legacy","2","2","0","C:/Users/z.lab1/Desktop/Final/subject-128.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(74, 492)","flower","yes","no","no","0,0","0","1","1","NA","16748","16748","NA","2","legacy","1024","2","44100","-16","NA","experiment","128","even","droid","[9919.0, 10184.0, 10405.0, 10627.0, 10852.0, 11075.0, 11314.0, 11568.0, 15138.0, 20028.0, 22855.0, 28382.0, 28631.0, 28890.0, 29160.0, 31622.0, 31847.0]","164661","264791","265791","NA","198724","NA","NA","NA","NA","NA","2642","36417","36914","53191","36914","114527","2622","NA","136561","271059","264790","19394","2621","310410","BTA (Zapotec RC script)","0","0","0","no","271065","no","1920","[788, 583, 445, 319, 191, 107, 55, 52, 110, 107, 104, 112, 111, 113, 116, 120, 120]","[744, 500, 334, 223, 122, 63, 34, 37, 91, 96, 91, 178, 126, 94, 90, 110, 96]"
# 2018-06-28 17:55:29.029000> starting trial 3 with item-cond 12-d
