# 2018-06-29 08:47:27.367000 : Beginning an experiment with subject number 135
# 2018-06-29 08:48:38.636000 : First practice screen shown at time 72822
# 2018-06-29 08:48:54.911000 : Touch tracking instructions at time 89096
# 2018-06-29 08:50:14.434000 : Second practice trial at time 168620
# 2018-06-29 08:51:04.145000 : Third practice trial at time 218331
# 2018-06-29 08:52:28.894000> starting trial 0 with item-cond 13-d
# 2018-06-29 08:52:32.015000> starting sentence audio 0 with item-cond 13-d
# 2018-06-29 08:52:32.027000 : Third practice trial at time 306213
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"37201","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","303091","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","d","13","undefined","1270","694","yes","06/29/18 08:47:25","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[306194, 306201, 306447, 306708, 306975, 307230, 307488, 307720, 307952, 308183, 308415, 308661, 308922, 309186, 309447, 309707, 309939, 310170, 310402, 310638, 310890, 311148, 311400, 311664, 311895, 312127, 312358, 312589, 312833, 313087, 313341, 313613, 313845, 314077, 314308, 314539, 314785, 315052, 315308, 315570, 315803, 316037, 316265, 316492, 316736, 316992, 317256, 317527, 317761, 317993, 318226, 318459, 318706, 318968, 319229, 319491, 319724, 319957, 320190, 320424, 320670, 320927, 321186, 321458, 321690, 321922, 322155, 322389, 322644, 322908, 323177, 323453, 323691, 323926, 324161, 324394, 324648, 324915, 325183, 325434, 325664, 325893, 326122, 326363, 326624, 326888, 327158, 327389, 327618, 327848, 328077, 328333, 328603, 328871, 329131, 329361, 329593, 329823, 330052, 330305, 330565, 330828, 331081, 331312, 331544, 331775, 332006, 332269, 332534, 332804, 333039, 333274, 333509, 333744, 333997, 334260, 334530, 334784, 335020, 335255, 335491, 335738, 336008, 336275, 336547, 336786, 337012, 337238, 337464, 337717, 337985, 338246, 338506, 338738, 338969, 339200, 339431, 339685, 339956, 340220, 340470, 340702, 340932, 341162, 341403, 341676, 341940, 342201, 342432, 342667, 342900, 343130, 343390]","0","NA","no","serif","no","18","no","white","no","no","1080","13","13","legacy","0","0","0","C:/Users/z.lab1/Desktop/Final/subject-135.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1793, 508)","star","yes","no","no","0,0","0","1","1","NA","53240","53240","NA","2","legacy","1024","2","44100","-16","NA","experiment","135","odd","droid","[16452.0, 16717.0, 16985.0, 17262.0]","260911","302080","303080","NA","301502","NA","NA","NA","NA","NA","2012","72297","72817","89092","72817","168407","1989","NA","218115","306189","302080","55257","1988","343658","BTA (Zapotec RC script)","0","0","0","no","306194","no","1920","[1177, 1473, 1781, 1850]","[761, 437, 112, 76]"
# 2018-06-29 08:53:11.087000> starting trial 1 with item-cond 16-g
# 2018-06-29 08:53:14.024000> starting sentence audio 1 with item-cond 16-g
# 2018-06-29 08:53:14.034000 : Third practice trial at time 348220
"22196","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","345281","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","g","16","undefined","1270","694","yes","06/29/18 08:47:25","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[348204, 348209, 348449, 348679, 348910, 349146, 349409, 349673, 349931, 350187, 350419, 350649, 350879, 351110, 351353, 351607, 351868, 352124, 352386, 352612, 352839, 353065, 353291, 353533, 353794, 354059, 354320, 354584, 354815, 355047, 355282, 355515, 355764, 356021, 356281, 356542, 356773, 357000, 357228, 357456, 357698, 357960, 358224, 358493, 358737, 358964, 359192, 359422, 359657, 359914, 360174, 360441, 360692, 360925, 361158, 361391, 361638, 361901, 362179, 362452, 362701, 362937, 363171, 363412, 363660, 363924, 364183, 364458, 364691, 364926, 365160, 365394, 365647, 365909, 366174, 366435, 366666, 366895, 367125, 367359, 367617, 367886, 368156, 368416, 368646, 368876, 369105, 369336, 369589, 369856, 370123, 370396]","0","NA","no","serif","no","18","no","white","no","no","1080","16","16","legacy","1","1","0","C:/Users/z.lab1/Desktop/Final/subject-135.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1808, 493)","flower","yes","no","no","0,0","0","1","1","NA","53240","53240","NA","2","legacy","1024","2","44100","-16","NA","experiment","135","odd","droid","[13977.0, 14251.0, 14499.0, 14736.0, 14970.0]","260911","344273","345273","NA","301502","NA","NA","NA","NA","NA","2012","72297","72817","89092","72817","168407","1989","NA","218115","348198","344273","55257","1988","370626","BTA (Zapotec RC script)","0","0","0","no","348204","no","1920","[1166, 1401, 1653, 1817, 1821]","[721, 489, 226, 97, 88]"
# 2018-06-29 08:53:37.974000> starting trial 2 with item-cond 6-e
# 2018-06-29 08:53:40.585000> starting sentence audio 2 with item-cond 6-e
# 2018-06-29 08:53:40.596000 : Third practice trial at time 374782
"13452","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","372168","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","e","6","undefined","1270","694","yes","06/29/18 08:47:25","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[374765, 374770, 374989, 375194, 375400, 375605, 375816, 376047, 376278, 376509, 376741, 376960, 377167, 377371, 377575, 377778, 377988, 378220, 378445, 378677, 378905, 379134, 379346, 379556, 379764, 379974, 380187, 380412, 380645, 380873, 381099, 381335, 381543, 381752, 381962, 382171, 382386, 382615, 382848, 383084, 383328, 383543, 383754, 383966, 384178, 384401, 384635, 384882, 385123, 385356, 385569, 385782, 385995, 386207, 386431, 386666, 386907, 387154, 387370, 387578, 387785, 387998, 388213]","0","NA","no","serif","no","18","no","white","no","no","1080","6","6","legacy","2","2","0","C:/Users/z.lab1/Desktop/Final/subject-135.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1812, 453)","tortilla","yes","no","no","0,0","0","1","1","NA","53240","53240","NA","2","legacy","1024","2","44100","-16","NA","experiment","135","odd","droid","[8780.0, 8991.0, 9203.0, 9416.0, 9639.0, 9873.0, 10119.0]","260911","371160","372160","NA","301502","NA","NA","NA","NA","NA","2012","72297","72817","89092","72817","168407","1989","NA","218115","374759","371160","55257","1988","388446","BTA (Zapotec RC script)","0","0","0","no","374765","no","1920","[1079, 1228, 1404, 1593, 1794, 1827, 1820]","[835, 717, 569, 362, 122, 89, 96]"
# 2018-06-29 08:53:55.804000> starting trial 3 with item-cond 24-g
