# 2018-06-28 12:18:33.669000 : Beginning an experiment with subject number 225
# 2018-06-28 12:19:10.923000 : First practice screen shown at time 39537
# 2018-06-28 12:19:27.250000 : Touch tracking instructions at time 55863
# 2018-06-28 12:20:57.726000 : Second practice trial at time 146339
# 2018-06-28 12:21:37.470000 : Third practice trial at time 186083
# 2018-06-28 12:23:18.298000> starting trial 0 with item-cond 7-h
# 2018-06-28 12:23:20.972000> starting sentence audio 0 with item-cond 7-h
# 2018-06-28 12:23:20.984000 : Third practice trial at time 289597
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"21331","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","287100","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","h","7","undefined","1059","785","yes","06/28/18 12:18:31","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[289579, 289585, 289809, 290017, 290230, 290460, 290688, 290914, 291153, 291370, 291580, 291790, 292001, 292212, 292437, 292666, 292897, 293135, 293357, 293563, 293769, 293975, 294186, 294402, 294639, 294873, 295106, 295351, 295576, 295786, 295993, 296200, 296408, 296625, 296861, 297098, 297331, 297572, 297780, 297988, 298198, 298405, 298621, 298860, 299094, 299328, 299565, 299772, 299980, 300189, 300397, 300616, 300849, 301086, 301322, 301554, 301771, 301989, 302203, 302418, 302641, 302888, 303135, 303387, 303633, 303848, 304063, 304276, 304490, 304713, 304953, 305197, 305447, 305687, 305900, 306117, 306334, 306545, 306770, 307014, 307263, 307511, 307757, 307972, 308188, 308402, 308616, 308840, 309083, 309319, 309569, 309783, 310001, 310217, 310434, 310660, 310908]","0","NA","no","serif","no","18","no","white","no","no","1080","7","7","legacy","0","0","0","C:/Users/z.lab2/Desktop/Final/subject-225.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1818, 424)","leaf","yes","no","no","0,0","0","3","3","NA","19189","19189","NA","2","legacy","1024","2","44100","-16","NA","experiment","225","odd","droid","[12412.0, 12626.0, 13558.0, 13810.0, 14056.0, 14272.0, 14486.0, 14699.0, 14913.0, 15136.0, 15376.0, 15621.0, 15870.0, 16110.0, 16324.0, 16541.0, 16757.0, 16971.0, 17193.0, 17437.0, 17688.0, 17934.0, 18180.0]","240216","285911","286911","NA","285395","NA","NA","NA","NA","NA","2743","38963","39532","55806","39532","146122","2721","NA","185817","289574","285907","21936","2720","311140","BTA (Zapotec RC script)","0","0","0","no","289579","no","1920","[1122, 1160, 1248, 1301, 1327, 1361, 1391, 1419, 1434, 1450, 1490, 1571, 1647, 1699, 1732, 1759, 1782, 1800, 1815, 1825, 1834, 1839, 1842]","[864, 839, 793, 758, 720, 656, 610, 579, 561, 545, 506, 426, 348, 299, 273, 244, 222, 190, 156, 120, 88, 68, 59]"
# 2018-06-28 12:23:44.009000> starting trial 1 with item-cond 21-f
# 2018-06-28 12:23:46.792000> starting sentence audio 1 with item-cond 21-f
# 2018-06-28 12:23:46.802000 : Third practice trial at time 315415
"17149","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","312648","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","f","21","undefined","1059","785","yes","06/28/18 12:18:31","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[315399, 315405, 315646, 315887, 316123, 316363, 316607, 316838, 317050, 317261, 317480, 317700, 317924, 318163, 318403, 318641, 318891, 319134, 319349, 319565, 319780, 319996, 320219, 320464, 320710, 320953, 321207, 321428, 321649, 321871, 322092, 322325, 322575, 322836, 323080, 323302, 323525, 323747, 323971, 324207, 324460, 324711, 324964, 325218, 325438, 325659, 325881, 326102, 326337, 326581, 326835, 327087, 327334, 327559, 327782, 328007, 328237, 328477, 328733, 328990, 329247, 329475, 329697, 329920, 330142, 330375, 330629, 330884, 331138, 331369, 331593, 331821, 332048, 332285, 332545]","0","NA","no","serif","no","18","no","white","no","no","1080","21","21","legacy","1","1","0","C:/Users/z.lab2/Desktop/Final/subject-225.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(110, 419)","star","yes","no","no","0,0","0","3","3","NA","19189","19189","NA","2","legacy","1024","2","44100","-16","NA","experiment","225","odd","droid","[6928.0, 7179.0, 7439.0, 7683.0, 7906.0, 8128.0, 8350.0, 8574.0, 8812.0, 9064.0, 9314.0, 9567.0, 9821.0, 10041.0, 10263.0, 10484.0, 10705.0, 10940.0, 11184.0, 11438.0, 11690.0, 11938.0, 12163.0, 12385.0, 12611.0, 12840.0, 13081.0, 13336.0]","240216","311622","312622","NA","285395","NA","NA","NA","NA","NA","2743","38963","39532","55806","39532","146122","2721","NA","185817","315393","311621","21936","2720","332786","BTA (Zapotec RC script)","0","0","0","no","315399","no","1920","[895, 832, 752, 669, 606, 561, 533, 515, 501, 490, 481, 471, 452, 417, 379, 342, 308, 283, 265, 251, 230, 206, 183, 162, 142, 130, 119, 112]","[914, 894, 851, 809, 777, 752, 732, 718, 707, 697, 694, 690, 678, 659, 632, 598, 562, 510, 466, 403, 328, 254, 187, 146, 115, 96, 87, 77]"
# 2018-06-28 12:24:05.736000> starting trial 2 with item-cond 9-b
# 2018-06-28 12:24:08.391000> starting sentence audio 2 with item-cond 9-b
# 2018-06-28 12:24:08.402000 : Third practice trial at time 337015
"18299","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","334375","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","b","9","undefined","1059","785","yes","06/28/18 12:18:31","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[336999, 337005, 337238, 337477, 337715, 337954, 338196, 338441, 338655, 338870, 339085, 339302, 339526, 339768, 340010, 340252, 340498, 340740, 340958, 341175, 341393, 341610, 341834, 342068, 342307, 342551, 342797, 343017, 343233, 343448, 343667, 343893, 344135, 344382, 344623, 344873, 345087, 345303, 345523, 345748, 345978, 346229, 346485, 346736, 346998, 347219, 347441, 347663, 347887, 348119, 348370, 348619, 348872, 349125, 349347, 349570, 349793, 350016, 350247, 350499, 350754, 351003, 351263, 351487, 351713, 351934, 352158, 352393, 352644, 352893, 353145, 353369, 353590, 353812, 354033, 354266, 354524, 354788, 355058, 355295]","0","NA","no","serif","no","18","no","white","no","no","1080","9","9","legacy","2","2","0","C:/Users/z.lab2/Desktop/Final/subject-225.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(102, 463)","star","yes","no","no","0,0","0","3","3","NA","19189","19189","NA","2","legacy","1024","2","44100","-16","NA","experiment","225","odd","droid","[8751.0, 8981.0, 9232.0, 9488.0, 9739.0, 10001.0, 10222.0, 10444.0, 10666.0, 10890.0, 11123.0, 11374.0, 11622.0, 11875.0, 12129.0, 12351.0, 12573.0, 12796.0, 13019.0, 13250.0, 13502.0, 13758.0, 14006.0, 14266.0, 14491.0, 14716.0]","240216","333349","334349","NA","285395","NA","NA","NA","NA","NA","2743","38963","39532","55806","39532","146122","2721","NA","185817","336994","333349","21936","2720","355510","BTA (Zapotec RC script)","0","0","0","no","336999","no","1920","[878, 779, 685, 598, 521, 457, 415, 390, 372, 355, 342, 334, 329, 321, 300, 269, 242, 214, 189, 155, 126, 115, 111, 111, 114, 116]","[933, 902, 859, 814, 775, 740, 720, 710, 701, 694, 690, 687, 684, 676, 661, 606, 544, 472, 391, 288, 182, 145, 123, 102, 93, 92]"
# 2018-06-28 12:24:28.410000> starting trial 3 with item-cond 17-b
# 2018-06-28 12:24:32.425000> starting sentence audio 3 with item-cond 17-b
# 2018-06-28 12:24:32.442000 : Third practice trial at time 361055
"13220","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","357049","relative","undefined","undefined","0","3","3","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","3","3","0","0","3","b","17","undefined","1059","785","yes","06/28/18 12:18:31","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[361030, 361037, 361288, 361504, 361727, 361967, 362209, 362449, 362697, 362922, 363136, 363349, 363563, 363777, 364011, 364251, 364490, 364732, 364980, 365194, 365408, 365621, 365834, 366054, 366290, 366525, 366768, 367015, 367235, 367455, 367679, 367902, 368132, 368373, 368620, 368865, 369116, 369337, 369559, 369780, 370003, 370237, 370487, 370744, 370997, 371243, 371464, 371685, 371912, 372128, 372356, 372605, 372855, 373118, 373337, 373561, 373786, 374011, 374248]","0","NA","no","serif","no","18","no","white","no","no","1080","17","17","legacy","3","3","0","C:/Users/z.lab2/Desktop/Final/subject-225.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1811, 467)","star","yes","no","no","0,0","0","3","3","NA","19189","19189","NA","2","legacy","1024","2","44100","-16","NA","experiment","225","odd","droid","[6651.0, 6874.0, 7104.0, 7345.0, 7594.0, 7838.0, 8088.0, 8311.0, 8531.0, 8752.0, 8975.0, 9210.0, 9459.0, 9717.0, 9969.0, 10215.0, 10436.0]","240216","356023","357023","NA","285395","NA","NA","NA","NA","NA","2743","38963","39532","55806","39532","146122","2721","NA","185817","361024","356023","21936","2720","374480","BTA (Zapotec RC script)","0","0","0","no","361030","no","1920","[1106, 1172, 1241, 1328, 1433, 1522, 1577, 1617, 1656, 1695, 1733, 1773, 1809, 1831, 1844, 1845, 1847]","[880, 842, 794, 709, 586, 479, 419, 383, 347, 303, 269, 237, 204, 157, 119, 90, 66]"
# 2018-06-28 12:24:47.444000> starting trial 4 with item-cond 12-e
# 2018-06-28 12:24:51.853000> starting sentence audio 4 with item-cond 12-e
# 2018-06-28 12:24:51.871000 : Third practice trial at time 380484
