# 2018-07-11 11:33:43.096000 : Beginning an experiment with subject number 148
# 2018-07-11 11:34:24.278000 : First practice screen shown at time 42470
# 2018-07-11 11:34:40.574000 : Touch tracking instructions at time 58767
# 2018-07-11 11:35:48.260000 : Second practice trial at time 126452
# 2018-07-11 11:36:12.843000 : Third practice trial at time 151035
# 2018-07-11 11:37:29.891000> starting trial 0 with item-cond 20-h
# 2018-07-11 11:37:34.375000> starting sentence audio 0 with item-cond 20-h
# 2018-07-11 11:37:34.385000 : Third practice trial at time 232577
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"16356","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","228093","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","h","20","undefined","1041","742","yes","07/11/18 11:33:41","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[232562, 232568, 232810, 233045, 233306, 233572, 233840, 234100, 234324, 234548, 234773, 234998, 235235, 235486, 235747, 236010, 236264, 236489, 236716, 236944, 237181, 237442, 237711, 237978, 238242, 238472, 238702, 238932, 239156, 239403, 239668, 239939, 240203, 240453, 240680, 240905, 241136, 241377, 241633, 241906, 242187, 242436, 242671, 242906, 243138, 243385, 243644, 243910, 244192, 244436, 244670, 244902, 245136, 245381, 245653, 245940, 246227, 246460, 246693, 246925, 247158, 247416, 247691, 247963, 248217, 248449, 248681, 248914]","0","NA","no","serif","no","18","no","white","no","no","1080","20","20","legacy","0","0","0","C:/Users/z.lab1/Desktop/Final/subject-148.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(81, 482)","flower","yes","no","no","0,0","0","1","1","NA","23198","23198","NA","2","legacy","1024","2","44100","-16","NA","experiment","148","even","droid","[9878.0, 10113.0, 10347.0, 10579.0, 10825.0, 11085.0, 11350.0, 11632.0, 11876.0, 12110.0, 12342.0, 12576.0, 12821.0, 13094.0, 13381.0]","188953","227084","228084","NA","226606","NA","NA","NA","NA","NA","1733","41965","42466","58736","42466","126235","1713","NA","150793","232557","227084","24935","1712","249139","BTA (Zapotec RC script)","0","0","0","no","232562","no","1920","[857, 835, 873, 857, 759, 648, 553, 452, 347, 270, 177, 100, 72, 79, 98]","[887, 857, 899, 885, 776, 641, 523, 419, 340, 287, 225, 166, 120, 102, 96]"
# 2018-07-11 11:37:52.448000> starting trial 1 with item-cond 23-c
# 2018-07-11 11:37:55.807000> starting sentence audio 1 with item-cond 23-c
# 2018-07-11 11:37:55.818000 : Third practice trial at time 254011
"29166","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","250661","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","c","23","undefined","1041","742","yes","07/11/18 11:33:41","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[253993, 254000, 254253, 254488, 254722, 254927, 255131, 255334, 255536, 255744, 255981, 256225, 256463, 256706, 256942, 257148, 257354, 257560, 257767, 257978, 258207, 258443, 258675, 258913, 259156, 259361, 259567, 259774, 259981, 260194, 260431, 260673, 260909, 261152, 261384, 261595, 261803, 262010, 262217, 262439, 262681, 262917, 263163, 263399, 263611, 263825, 264039, 264253, 264478, 264723, 264975, 265229, 265479, 265692, 265906, 266120, 266333, 266557, 266806, 267057, 267311, 267558, 267772, 267986, 268197, 268407, 268635, 268881, 269129, 269384, 269601, 269813, 270022, 270231, 270454, 270704, 270956, 271215, 271430, 271646, 271861, 272075, 272303, 272550, 272804, 273061, 273286, 273496, 273705, 273914, 274123, 274373, 274626, 274877, 275123, 275333, 275544, 275756, 275974, 276209, 276465, 276719, 276970, 277187, 277398, 277608, 277819, 278040, 278282, 278530, 278790, 279008, 279222, 279438, 279652, 279879, 280126, 280381, 280639, 280874, 281088, 281303, 281518, 281730, 281964, 282213, 282463, 282725, 282939, 283155]","0","NA","no","serif","no","18","no","white","no","no","1080","23","23","legacy","1","1","0","C:/Users/z.lab1/Desktop/Final/subject-148.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(128, 453)","leaf","yes","no","no","0,0","0","1","1","NA","23198","23198","NA","2","legacy","1024","2","44100","-16","NA","experiment","148","even","droid","[10048.0, 10262.0, 10487.0, 10733.0, 10985.0, 11238.0, 11489.0, 11701.0, 11915.0, 12129.0, 12343.0, 12566.0, 12815.0, 13066.0, 13320.0]","188953","249641","250641","NA","226606","NA","NA","NA","NA","NA","1733","41965","42466","58736","42466","126235","1713","NA","150793","253987","249640","24935","1712","283360","BTA (Zapotec RC script)","0","0","0","no","253993","no","1920","[897, 858, 808, 746, 671, 581, 487, 412, 333, 260, 182, 109, 78, 75, 83]","[872, 814, 761, 712, 641, 563, 497, 434, 374, 318, 244, 169, 115, 92, 81]"
# 2018-07-11 11:38:26.687000> starting trial 2 with item-cond 17-e
# 2018-07-11 11:38:30.686000> starting sentence audio 2 with item-cond 17-e
# 2018-07-11 11:38:30.697000 : Third practice trial at time 288889
"13783","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","284890","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","e","17","undefined","1041","742","yes","07/11/18 11:33:41","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[288873, 288879, 289103, 289316, 289550, 289788, 290024, 290271, 290521, 290733, 290945, 291157, 291369, 291587, 291832, 292079, 292324, 292577, 292812, 293029, 293246, 293462, 293679, 293909, 294148, 294398, 294637, 294875, 295093, 295311, 295530, 295749, 295971, 296208, 296459, 296705, 296966, 297187, 297410, 297630, 297851, 298083, 298340, 298597, 298856, 299115, 299335, 299560, 299782, 300011, 300249, 300507, 300764, 301029, 301246, 301464, 301681, 301905, 302135, 302392, 302651]","0","NA","no","serif","no","18","no","white","no","no","1080","17","17","legacy","2","2","0","C:/Users/z.lab1/Desktop/Final/subject-148.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1810, 459)","star","yes","no","no","0,0","0","1","1","NA","23198","23198","NA","2","legacy","1024","2","44100","-16","NA","experiment","148","even","droid","[8096.0, 8317.0, 8539.0, 8761.0, 8980.0, 9212.0, 9469.0, 9726.0, 9985.0, 10245.0, 10465.0, 10689.0, 10912.0, 11140.0]","188953","283879","284880","NA","226606","NA","NA","NA","NA","NA","1733","41965","42466","58736","42466","126235","1713","NA","150793","288868","283879","24935","1712","302904","BTA (Zapotec RC script)","0","0","0","no","288873","no","1920","[1049, 1111, 1193, 1254, 1329, 1398, 1472, 1546, 1622, 1695, 1757, 1792, 1815, 1827]","[859, 796, 722, 661, 585, 517, 434, 339, 273, 210, 160, 121, 106, 95]"
# 2018-07-11 11:38:46.248000> starting trial 3 with item-cond 13-a
